Hour,Electricity Demand (kWh),Space Heating Demand (kWh),Space Cooling Demand (kWh),Domestic Hot Water Demand (kWh),Solar Irradiance (kW/m2),Wind Speed (m/s),Ambient Temperature (C)
2430,0.8,0.36,0.63,0.56,0.05,5.36,21.69
2431,0.79,3.7,2.09,0.7,0.61,9.81,27.43
2432,1.28,3.43,1.35,0.37,0.7,11.32,24.32
2433,1.84,1.12,0.1,0.22,0.95,7.08,7.44
2434,1.07,1.36,0.21,0.46,0.98,0.22,8.36
2435,1.24,0.2,1.75,0.55,0.26,5.54,34.04
2436,1.13,2.92,2.51,1.23,0.67,13.48,31.91
2437,1.61,0.69,1.79,1.18,0.08,6.63,15.68
2438,0.65,1.18,1.16,1.14,0.72,1.24,22.74
2439,1.58,1.59,1.31,1.45,0.33,2.15,27.43
2440,1.68,1.63,1.2,0.73,0.21,9.07,18.53
2441,1.57,3.21,2.69,0.34,0.02,6.22,-2.03
2442,1.52,1.98,0.46,1.26,0.53,0.29,14.02
2443,1.09,0.22,1.14,0.96,0.18,12.52,28.78
2444,1.23,2.4,0.92,1.5,0.58,7.57,7.99
2445,0.82,1.23,1.77,0.64,0.51,11.77,15.1
2446,1.54,1.36,2.08,1.34,0.62,12.44,3.22
2447,0.81,0.83,1.55,1.32,0.24,2.52,27.95
2448,1.34,0.45,2.97,1.48,0.12,13.27,3.08
2449,1.62,1.02,0.76,1.48,0.78,5.4,24.68
2450,0.78,3.51,0.06,1.49,0.99,2.76,20.56
2451,0.91,3.49,2.17,1.39,0.38,5.66,32.42
2452,1.16,3.78,0.73,0.54,0.39,14.62,18.61
2453,1.47,0.14,2.91,0.77,0.87,13.71,22.76
2454,0.98,3.6,2.41,1.46,0.17,14.26,34.75
2455,0.77,1.45,1.88,0.72,0.35,0.05,8.1
2456,0.73,2.59,2.11,1.39,0.28,3.47,4.64
2457,0.89,2.48,2.4,1.18,0.13,10.9,8.8
2458,1.11,0.69,2.05,1.33,0.54,11.94,22.71
2459,0.64,0.69,0.94,1.18,0.63,7.8,13.99
2460,1.93,0.85,1.52,0.7,0.88,4.96,19.95
2461,2,1.08,0.94,0.55,0.65,5.13,33.8
2462,1.81,1.48,2.11,1.11,0.05,8.05,16.54
2463,1.74,1.82,0.03,0.31,0.05,0.05,21.54
2464,1.14,1.44,1.16,0.44,0.06,10.37,1.39
2465,1.01,2.36,0.48,0.24,0.25,8.58,7.97
2466,1.15,0.63,2.85,0.57,0.25,7.64,27.44
2467,0.53,3.73,2.16,0.61,0.78,2.98,-4.93
2468,0.74,3.35,1.51,1.36,0.05,2.63,19.43
2469,1.32,0.21,0.73,1.19,0.61,1.56,25.52
2470,1.89,1.85,0.06,1.09,0.6,13.7,8.12
2471,1.89,3.26,2.27,1.24,0.51,13.03,6.85
2472,1.57,1.41,1.49,1.03,0.02,8.7,3.54
2473,1.23,1.69,0.27,0.54,0.83,4.08,25.42
2474,0.9,3.98,1.73,1.44,0.38,11.37,34.31
2475,1.12,3.02,0.12,0.38,0.45,2.22,23.16
2476,1.98,1.11,1.3,0.34,0.67,12.17,25.94
2477,1.79,2.26,1.32,0.51,0.66,12.24,7.65
2478,1.23,3.21,2.59,1.31,0.28,4.29,23.29
2479,1.78,1.12,2.96,0.78,0.01,7.35,20
2480,1.62,0.3,0.43,0.72,0.81,9.2,0.7
2481,1.11,1.32,2.11,0.57,0.76,3.04,21.27
2482,1.24,3.53,2.62,1.45,0.64,5.06,32.38
2483,1.2,1.87,1.29,1.2,0.93,8.98,15.04
2484,0.52,2.39,0.98,0.42,0.2,8.27,29.92
2485,0.98,0.17,0.06,0.65,0.1,6.6,30.96
2486,0.56,0.96,1.69,0.67,1,3.44,-1.82
2487,1.83,3.14,0.54,0.49,0.87,8.06,28.31
2488,1.38,2.85,0.22,0.37,0.04,5.56,16.3
2489,1.11,0.44,0.01,1.29,0.33,3.11,20.73
2490,0.65,3.28,2.88,0.88,0.52,4.52,-0.39
2491,0.56,2.13,2.57,0.66,0.63,3.56,-0.16
2492,0.88,1,2.89,0.28,0.42,5.68,23.78
2493,1.09,0.62,2.83,0.53,0.09,14.46,28.14
2494,1.4,0.69,1.88,1.14,0.47,14.05,34.28
2495,1.03,1.67,1.82,1.36,0.55,9.93,32.07
2496,1.22,3.5,2.54,1.36,0.31,11.2,27.51
2497,1.52,1.47,2.84,0.61,0.16,5.9,33.83
2498,0.57,2.6,1.77,1.12,0.52,11.62,23.38
2499,1.29,0.57,0.36,0.39,0.28,12.73,34.76
2500,0.93,0.26,0.39,0.57,0.24,11.98,9.96
2501,1.67,1.64,1.98,0.87,0.72,2.91,-2.89
2502,0.98,0.66,0.24,1.21,0.56,12.32,23.93
2503,0.75,0.78,1.84,1.38,0.74,12.2,4.28
2504,1.68,1.08,2.89,1.42,0.45,10.7,9.88
2505,1.65,0.25,0.01,0.41,0.08,12.67,6.13
2506,1.2,3.2,0.56,0.77,0.49,12.63,-4.71
2507,0.78,2.17,2.83,1.08,0.6,8.64,15.16
2508,1.21,1.63,1.47,1.18,0.78,10.13,-1.75
2509,1.16,1.33,0.86,0.86,0.58,5.2,3.89
2510,0.72,0,0.75,0.27,0.8,1.72,11.27
2511,1.04,3.48,2.59,1.24,0.51,8.05,15.4
2512,1.72,3.05,1.29,1.32,0.61,7.84,24.9
2513,1.25,2.92,1.91,1.36,0.02,11.94,3.39
2514,0.69,0.7,0.93,1.34,0.86,2.87,14.49
2515,1.83,0.21,1.64,1.18,0.17,12.74,22.16
2516,1.62,0.26,2.39,0.74,0.74,11.86,19.58
2517,1.31,2.15,1.02,0.43,0.44,10.92,1.42
2518,0.9,2.54,1.19,0.37,0.89,2.75,28.13
2519,0.65,3.99,1.33,1.12,0.3,4.81,-4.26
2520,1.61,2.09,1.8,1.21,0.97,6.28,12.53
2521,1.44,1.33,0.91,1.05,0.74,0.01,6.87
2522,1.73,2.72,1.34,0.94,0.61,3,-1.01
2523,1.53,2.58,1.64,0.97,0.94,9.96,25.42
2524,0.73,0.09,1.06,0.29,0.54,8.63,29.73
2525,1.18,0.49,0.02,0.57,0.36,14.19,16.4
2526,0.97,2.77,0.81,0.42,0.7,2.54,17.74
2527,1.8,0.33,2.45,0.79,0.24,7.76,17.34
2528,0.91,3.22,0.85,0.3,0.52,0.3,9.21
2529,1.24,3.63,2.47,0.63,0.89,8.73,15.83
2530,1.32,0.8,1.23,1.34,0.44,1.58,17.11
2531,1.44,2.02,2.6,0.33,0.42,1.34,34.91
2532,1.45,1.26,1.13,0.93,0.34,6.6,8.37
2533,1.47,2.08,0.88,0.54,0.66,5.06,26.35
2534,1.03,2.46,0.71,0.68,0.27,6.77,6.08
2535,1.26,0.05,0.91,0.59,0.81,0.42,7.02
2536,0.59,3.58,0.59,0.28,0.63,1.12,-3.4
2537,1.29,1.48,2.25,0.29,0.96,1.08,0.86
2538,1.43,0.77,2.95,0.81,0.92,1.93,11.2
2539,1.62,0.13,1.19,1.3,0.32,6.47,27.38
2540,0.72,3.97,1,1.41,0.82,6.61,16.29
2541,1.43,3.04,1.91,0.49,0.05,4.86,12.59
2542,0.99,1.82,1.29,1.37,0.33,1.57,28.48
2543,1.11,3.46,0.14,0.26,0.77,12.9,24.89
2544,1.21,1.82,1.03,1.29,0.07,9.42,11.62
2545,0.69,2.75,2.4,0.91,0.6,9.46,34.56
2546,0.86,3.83,0.21,0.31,0.76,4.67,26.89
2547,0.59,2.82,0.78,0.3,0.71,13.39,11.38
2548,1.96,0.96,2.92,0.38,0.78,4.58,27.51
2549,0.79,3.73,0.85,0.26,0.16,9.75,17.6
2550,1.45,0.09,2.55,1.12,0.32,13.77,-2.64
2551,0.67,3.68,2.7,1,0.76,14.91,23.79
2552,1.55,3.85,2.05,1.29,0.59,3.08,10.91
2553,1.81,0.37,1.42,0.83,0.09,13.02,23.99
2554,1.21,0.22,2.87,0.96,0.92,10.69,13.83
2555,1.53,3.35,2.89,0.39,0.17,1.09,6.44
2556,1.49,0.1,1.91,0.88,0.59,2.63,6.81
2557,1.48,3.22,2.24,0.61,0.21,7.66,2.06
2558,0.66,1.41,2.64,0.79,0.82,7.64,30.69
2559,1.73,0.09,0.32,1.29,0.58,11.78,33.14
2560,1.38,2.57,1.7,1.07,0.41,6.5,23.03
2561,0.84,1.12,2.59,0.28,0.73,10.76,-1.98
2562,1.16,0.6,2.74,1.45,0.35,14.93,14.53
2563,1.59,2.19,3,0.53,0,14.26,-1.99
2564,1.46,0.11,2.2,0.8,0.09,8.14,7.5
2565,0.73,1.57,0.63,0.81,0.06,11.53,-3.47
2566,1.4,2.47,1.9,1.04,0.22,5.13,34.82
2567,1.26,2.9,2.97,1.3,0.91,11.73,12.1
2568,1.48,2.07,1.76,0.57,0.19,9.55,6.02
2569,1.68,0.25,1.16,0.58,0.58,6.46,-1.76
2570,0.99,3.05,0.81,0.49,0.79,7.24,0.75
2571,1.11,1.55,1.05,1.19,0.74,6.75,4.15
2572,1.39,0.72,2.21,1.03,0.33,9.79,12.77
2573,1.67,1.06,0.63,0.47,0.48,10.55,0.5
2574,1.43,2.67,1.92,0.78,0.08,7.34,-1.26
2575,0.52,0.79,1.88,0.73,0.1,12.93,22.12
2576,1.99,0.35,0.79,0.9,0.25,14.19,18.73
2577,0.54,2.48,1.51,1.27,0.15,10.15,2.33
2578,1.8,2.58,2.6,1.36,0.07,2.86,15.37
2579,1.86,1.78,2.39,0.48,0.26,2.67,4.46
2580,0.82,2.02,1.76,0.98,0.53,14.99,-1.59
2581,1.66,3.33,2,1.24,0.21,7.87,23.67
2582,1.22,1.35,0.11,0.38,0.28,9.92,16.04
2583,1.13,3.45,0.27,0.64,0.82,7.61,19.15
2584,0.72,3.49,1.12,0.41,0.75,9.93,1.03
2585,1.19,2.05,1.15,0.69,0.03,6.87,25.06
2586,1.46,0.07,0.89,0.25,0.08,13.1,25.75
2587,1.25,3.69,1.95,0.84,0.93,4.17,14.97
2588,0.84,0.56,1.82,1.5,0.36,14.92,29.67
2589,1.23,2.11,2.05,1.34,0.02,9.27,34.68
2590,1.81,2.69,0.69,0.86,0.39,1.34,12.52
2591,1.73,0.38,0.01,0.96,0.76,6.85,22.79
2592,0.79,3,2.9,1.2,0.9,5.96,-4.15
2593,1.23,2.45,2.32,0.5,0.7,14,-2.25
2594,1.41,2.69,1.37,0.91,0.27,4.46,15.09
2595,1.3,0.62,0.13,0.83,0.99,6.99,1.89
2596,1.49,1.09,0.6,0.7,0.15,10.85,-4.07
2597,1.53,1.21,0.16,0.79,0.37,1.34,-2.48
2598,1.11,0.6,1.43,1.2,0.36,2.8,-0.81
2599,0.86,2.26,0.65,0.69,0.49,9.84,32.16
2600,1.16,0.31,1.62,1.4,0.12,1.51,22.02
2601,0.66,1.03,0.19,1.37,0.61,4.3,26.55
2602,1.62,3.04,2.13,1.47,0.64,6.24,1.8
2603,1.66,0.95,0.3,0.28,0.45,3.31,8.02
2604,1.91,0.78,0.93,0.99,0.1,4.91,-0.48
2605,1.85,0.57,1.94,0.47,0.76,3.59,29.73
2606,0.69,2.47,0.32,0.3,0.93,11.65,12.84
2607,1.32,1.82,2.94,0.87,0.35,3.63,30.41
2608,1.56,0.88,0.57,1.41,0.24,11.8,20.83
2609,1.74,0.82,0.11,0.58,0.95,3.72,31.61
2610,0.95,3.96,2.01,0.72,0.14,0.94,23.13
2611,1.98,0.27,1.14,1.09,0.48,13.33,16.83
2612,1.26,2.97,2.9,1.34,0.69,10.86,-4.61
2613,1.19,3.66,0.26,0.33,0.04,3.2,7.68
2614,1.13,1.78,1.07,0.97,0.81,4.57,19.94
2615,0.77,1.93,1.78,0.51,0.67,3.46,34.83
2616,1.34,3.41,1.63,1.21,0.75,11.07,15.62
2617,0.69,0.06,1.46,0.54,0.21,0.19,21.45
2618,1.77,0.76,1.15,1.15,0.27,14.45,32.36
2619,0.57,2.86,2.5,1.13,1,5.6,-0.35
2620,1.78,2.06,0.41,1.47,0.36,4.3,16.35
2621,1.72,3.87,1.5,0.84,0.02,11.76,26.48
2622,0.95,0.85,1.72,0.41,0.35,4.82,10.27
2623,0.55,3.55,2.65,1.23,0.38,8.55,18.54
2624,1.83,4,0.85,1.17,0.88,6.12,23.25
2625,1.71,0.01,0.82,1.31,0.28,9.41,25.6
2626,1.45,1.15,2.43,0.93,0.79,1.5,5.57
2627,0.58,3.92,0.83,1.06,0.11,5.77,3.16
2628,1.26,3.59,0.16,1.45,0.51,13.53,31.83
2629,1.9,0.39,1.57,0.22,0.41,14.63,-4.07
2630,0.66,1.03,2.28,1.07,0.33,1.72,27.18
2631,1.26,2.51,0.46,0.8,0.78,9.88,3.86
2632,1.71,0.99,2.29,0.73,0.6,6.18,25.54
2633,1.49,1.57,1.06,0.59,0.95,5.34,16.45
2634,1.09,1.01,2.85,1.14,0.36,0.3,15
2635,1.84,1.2,0.26,0.35,0.12,1.69,8.79
2636,1.29,1.36,0.95,0.5,0.24,3.49,31.95
2637,1.8,2.1,0.63,0.62,0.68,6.93,2.23
2638,1.42,3.12,2.69,0.46,0.66,10.03,-2.86
2639,0.97,2.2,0.84,0.39,0.63,8.3,17.12
2640,1.85,0.98,0.8,0.83,0.72,6.45,-0.83
2641,1.82,2.62,2.11,0.35,0.11,9.37,18.08
2642,0.96,3.33,2.85,0.6,0.29,6.46,15.86
2643,0.82,2.6,1.77,1.38,0.57,5.44,21.8
2644,1.97,3.2,2.83,0.91,0.44,14.63,29.69
2645,1.21,1.8,1.97,0.88,0.51,12.66,9.28
2646,2,3.7,0.59,1.25,0.21,1.53,18.65
2647,0.88,2.46,2.23,1.1,0.61,9.99,15.14
2648,0.65,2.85,0.89,0.67,0.34,14.93,2.11
2649,0.51,0.44,0.93,0.37,0.8,9.27,10.53
2650,0.97,2.52,2.43,1.18,0.59,3.37,15.53
2651,1.38,0.12,0.78,0.34,1,10.06,-1.71
2652,0.87,0.65,1,0.6,0.59,2.8,3.4
2653,1.36,2.79,2.96,1.21,0.05,12.3,13.07
2654,0.58,2.7,0.51,1.12,0.22,7.9,20.15
2655,1.96,1.99,1.9,1.3,0.25,4.08,19.89
2656,1.02,2.63,1.18,0.99,0.03,5.2,4.4
2657,1.96,3.28,0.96,1.01,0.92,10.75,33.24
2658,1.3,3.34,0.4,0.85,0.63,1.73,5.76
2659,1.2,3.56,1.6,0.6,0.81,13.59,13.62
2660,0.63,3.56,1.71,0.83,0.59,1.8,16.53
2661,0.63,2.26,2.06,0.35,0.86,6.2,9.29
2662,1.27,1.41,2.36,1.49,0.63,11.46,16.86
2663,0.98,0,1.24,0.65,0.08,11.74,10.12
2664,0.78,3.73,1.62,1.31,0.03,1.46,15.44
2665,0.7,0.79,0.2,1.38,0.44,4.15,18.64
2666,1.34,3.33,1.25,0.24,0.64,5.26,-0.39
2667,0.95,1,0.4,0.98,0.85,13.73,23.39
2668,1.71,1.29,0,1.31,0.9,6.92,24.75
2669,0.63,0.83,0.18,0.77,0.82,13.5,-1.7
2670,0.51,3.1,0.07,0.28,0.11,12.85,-3.13
2671,1.91,1.74,1.18,0.7,0.76,0.58,25
2672,0.53,3.85,1.15,0.56,0.35,10.48,33.07
2673,1.79,3.24,0.6,1.35,0.86,13.2,10.48
2674,1.82,2.27,1.4,1.07,0.83,5.49,30.78
2675,1.92,3.13,0.24,0.54,0.65,7.27,29.18
2676,1.24,3.37,0.88,1.25,0.92,3.53,3.1
2677,1.44,3.67,0.14,0.86,0.54,7.84,18.81
2678,1.05,0.32,0.02,1.34,0.24,5.3,-4.33
2679,1.96,3.2,1.76,1.24,0.65,10.77,30.26
2680,1.6,0.74,2.15,1.06,0.19,3.56,15.84
2681,1.58,3.66,0.78,0.35,0.76,7.66,33.35
2682,1.03,0.75,2.08,0.98,0.88,7.03,8.89
2683,0.95,0.69,1.88,1,0.67,6.05,-4.07
2684,1.34,1.98,2.33,1.26,0.49,3.76,6.47
2685,0.62,3.43,0.62,0.44,0.95,10.69,8.39
2686,1.13,0.35,1.44,0.99,0.79,3.32,14.7
2687,1.3,0.24,0.63,1.28,0.46,13.52,1.19
2688,1.63,3.06,2.61,0.22,0.55,9.13,22.07
2689,1.36,3.36,1.94,1,0.72,14.73,-1.98
2690,1.09,1.83,0.26,1.26,0.44,13.77,4.29
2691,0.54,2.59,1.1,0.79,0.4,2.18,-4.78
2692,1.56,0.52,0.12,0.45,0.87,11.74,16.59
2693,1.65,2.39,2.95,1.22,0.36,2.64,3.6
2694,1.78,0.04,2.47,0.32,0.99,14.1,19
2695,0.8,1.21,1.06,0.89,0.34,10.24,17.57
2696,1.26,0.09,1.15,0.21,0.75,2.82,26.41
2697,1.19,1.09,1.11,0.81,0.51,2.55,22.9
2698,1.64,0.09,1.97,1.37,0.06,11.21,-3.06
2699,1.25,3.76,1.04,1.41,0.8,9.27,15.72
2700,1.7,3.53,0.64,0.41,0.83,1.99,29.45
2701,0.62,0.82,0.8,1.01,0.75,7.54,-2.35
2702,0.58,3.67,2.39,0.27,0.92,12.4,33.07
2703,0.9,3.58,0.31,1.08,0.06,2.23,34.68
2704,1.21,0.87,1.29,1.2,0.31,0.2,11.92
2705,1.63,2.69,1.19,0.8,0.99,1.99,7.61
2706,1.05,0.75,1.67,0.75,0.5,2.77,28.81
2707,1.61,2.73,0.18,0.91,0.27,9.48,29.71
2708,1.75,0.25,0.1,0.58,0.36,5.06,27.95
2709,1.25,3.44,2.08,0.83,0.94,1.57,27.42
2710,1.94,3.3,1.57,1.33,0.72,5.95,22.23
2711,0.73,0.69,0.36,0.34,0.12,8.81,-3.64
2712,0.94,1.76,1.16,0.92,0.25,4.58,18.09
2713,2,1.02,1.57,0.61,0.11,8.74,6.16
2714,0.75,0.49,1.06,1.19,0.86,13.67,18.82
2715,1.87,0.05,0.34,0.64,0.37,6.03,7.07
2716,1.88,1.21,0.45,1.23,0.98,14.12,6.57
2717,1.46,3.75,0.74,0.72,0.98,12.9,5.36
2718,0.57,3.55,0,1,0.66,0.33,10.03
2719,1.26,1.74,2.19,1.11,0.69,10.04,9.8
2720,0.6,1.15,2.06,0.62,0.49,5.1,29.54
2721,1,1.23,2.64,0.75,0.42,3.82,11.21
2722,0.53,2.83,0.34,1.3,0.38,11.06,9.57
2723,0.57,1.06,1.85,0.77,0.93,10.94,5.17
2724,1.55,3.3,2.17,0.81,0.4,10.32,16.89
2725,1.97,1.44,1.82,0.96,0.96,0.58,9.38
2726,1.67,0.27,1.07,1.22,0.78,8.89,34.13
2727,1.09,0.49,0.98,0.29,0.23,8.93,13.84
2728,1.01,3.08,0.42,0.98,0.34,14.5,-4.86
2729,1.99,3.08,2.91,1.32,0.15,11.7,9.04
2730,0.85,1.59,0.33,0.64,0.16,5.41,2.58
2731,0.56,3.98,2.05,1.09,0.55,9.56,9.07
2732,0.89,0.88,2.66,0.53,0.28,13.35,5.18
2733,1.01,0.79,2.7,0.34,0.95,12.21,3.85
2734,1.23,2.11,2.77,0.42,0.37,6.51,2.98
2735,1.55,2.22,1.98,1.14,0.05,13.88,31.63
2736,1.48,1.68,0.39,0.97,0.12,14.61,-3.68
2737,1.44,2.3,1.56,0.45,0.37,11.53,26.38
2738,1.83,3.57,1.32,0.25,0.53,2.64,-0.17
2739,1.37,1.86,2.02,1.28,0.03,11.21,-3.11
2740,0.76,3.98,1.38,1.11,0.35,6.04,8.79
2741,1.04,3.79,2.47,0.79,0.74,3.66,20.97
2742,1.51,2.82,1.24,0.47,0.1,1.72,34.58
2743,1.29,2.82,2.26,1.46,0.11,1.53,5.48
2744,1.37,2.9,2.85,0.69,0.31,6.05,5.38
2745,0.95,3.45,2.18,1.4,0.1,8.43,0.97
2746,0.93,3.32,2.29,0.49,0.38,10.16,27.73
2747,1.18,2.88,2.13,1.35,0.72,13,26.83
2748,0.55,3.26,2.52,0.91,0.98,2.17,13.65
2749,1.15,1.72,0.88,1.43,0.05,4.71,8.73
2750,1.24,1.99,2.98,0.36,0.58,0.49,3.84
2751,0.59,3.58,2.39,1.49,0.23,9.97,13.36
2752,0.55,0.37,2.27,0.46,0.44,0.34,27.37
2753,0.51,3.1,0.27,0.32,0.99,0.69,22.8
2754,1.04,2.69,1,0.93,0.99,8.97,14.78
2755,1.25,0.59,0.76,1.08,0.61,2.9,16.45
2756,0.76,1.67,0.34,0.69,0.17,9.87,17.83
2757,1.84,2.91,2.74,1.11,0.5,5.34,25.48
2758,1.37,2.9,1.83,1.43,0.84,3.89,-0.37
2759,1.4,2.76,2.69,1.24,0.57,11.41,15.76
2760,0.6,0.62,1.6,1.35,0.72,11.12,3.76
2761,0.62,3.11,2.73,1.37,0.77,0.91,31.27
2762,1.26,0.53,2.78,0.59,0.46,10.87,31.69
2763,1.64,3.92,1.96,1.12,0.67,14.19,2.8
2764,1.76,0.62,1.5,1.17,0.12,7.1,29.89
2765,1.31,2.37,0.66,0.36,0.38,7.98,24.39
2766,1.38,3.1,2.74,0.83,0.51,5.08,15.22
2767,1.42,0.03,2.34,1.05,0.73,11.46,24.47
2768,0.97,2.88,1.01,0.58,0.46,11.47,-2
2769,1.96,0.9,2,1.03,0.96,13.37,32.36
2770,1.96,0.72,1.83,0.27,0.28,10.85,19.16
2771,1.44,0.3,0.32,0.97,0.18,14.69,-4.25
2772,1.07,0.76,2.79,0.33,0.2,14.55,10.32
2773,1.77,2.44,0.02,1.09,0.37,6.13,11.45
2774,0.76,4,2.48,1.05,0.53,10.82,30.03
2775,1.41,2.27,1.53,1.01,0.31,0.27,24.08
2776,1.68,2.42,2.48,0.53,0.87,5.79,-1.6
2777,0.51,1.56,1.67,1.07,0.7,6.13,-4.06
2778,1.15,0.15,0.46,0.74,0.27,12.47,-3.54
2779,0.89,2.93,1.42,0.9,0.76,4.09,-3.69
2780,1.7,0.31,2.64,1.09,0.58,3.21,8.05
2781,1.89,2.88,0.69,0.68,0.69,6.94,5.21
2782,0.76,3.34,0.36,1.49,0.94,3.4,27.03
2783,0.77,0.89,1.24,0.28,0.25,2.63,22.47
2784,1.94,3.1,2.43,1.15,0.92,7.11,1.3
2785,1.27,3.65,2.12,0.51,0.7,4.09,18.11
2786,0.65,2.23,2.99,1.48,0.21,1.83,32.65
2787,0.61,1.71,2.64,0.89,0.91,3.83,18.7
2788,1.95,2.21,0.51,1.22,0.44,11.21,13.19
2789,1.15,3.22,2.36,0.46,0.21,1.63,27.24
2790,1.91,2.47,2.15,1.34,0.27,1.43,28.38
2791,1.37,2.26,0.59,1.45,0.73,6.13,10.23
2792,1.58,1.62,2.34,0.9,0.94,2.44,2.12
2793,0.92,0.1,0.73,1.31,0.24,5.81,27.96
2794,0.6,0.59,1.37,1.07,0.92,13.74,26.04
2795,1.68,2.05,0.83,0.52,0.06,2.22,22.36
2796,0.75,2.58,1.35,1.39,0.12,10.77,13.12
2797,1.57,0.72,0.91,1.21,0.36,1.14,1.82
2798,0.61,2.72,1.98,1.36,0.59,11.66,26.08
2799,1.36,2.09,2.41,0.67,0.57,14.03,3.44
2800,1.63,2.68,0.06,0.79,0.04,11.67,5.2
2801,0.53,2.11,1.21,0.57,0.04,13.23,1.53
2802,1.08,1.71,0.44,0.64,0.66,11.12,30.3
2803,1.38,1.26,0.06,0.54,0.45,4.12,14.5
2804,1.7,0.66,2.95,1.15,0.48,3.45,-0.17
2805,0.89,0.34,2.02,0.69,0.03,13.5,25.55
2806,1.72,3.43,1.36,1.15,1,0.47,17.07
2807,1.47,2.17,1.29,1.08,0.59,8.1,25.38
2808,1.02,3.95,2.52,0.92,0.91,5.04,21.56
2809,0.95,3.38,1.71,1.07,0.37,13.68,25.65
2810,1.55,0.47,2.25,0.92,0.56,2.48,0.29
2811,1.59,3.48,2.76,1.14,0.43,5.53,0.64
2812,1.46,3.1,2.65,0.62,0.12,1.46,15.09
2813,1.17,3.95,0.28,1.22,0.44,14.07,26.5
2814,0.53,3.55,1.46,0.59,0.24,5.04,21.6
2815,1.36,1.43,1.9,1.47,0.26,5.59,26.72
2816,1.42,2.57,1.39,0.7,0.75,0.91,9.51
2817,0.86,2.55,0.87,0.22,0.34,1.53,-3.64
2818,0.8,3.77,2.75,0.81,0.74,13.99,-0.43
2819,1.8,0.69,2.7,1.44,0.98,9.7,6.63
2820,0.77,1.76,2.53,1.02,0.33,9.19,31.8
2821,0.81,2.32,2.8,0.33,0.24,11.83,24.36
2822,1.43,0.02,2.23,0.34,0.75,9.45,19.09
2823,0.98,0.58,1.17,0.78,0.57,3.81,31.04
2824,1.16,2.59,1.49,0.49,0.8,13.7,-4.85
2825,1.3,1.89,2.47,0.99,0.16,3.69,15.8
2826,1.9,1.03,2.73,1.41,0.66,12.32,23.09
2827,0.89,0.76,2.01,1.46,0.72,4.22,-3.91
2828,0.57,3.02,1.74,1.4,0.13,3.82,24
2829,0.67,1.99,2.68,0.59,0.15,8.71,21.35
2830,0.58,1.15,2.25,1.47,0.94,2.02,19.4
2831,1.63,1.37,2.74,0.6,0.19,5.62,33.42
2832,1.97,3.05,2.65,1.01,0.69,7.57,2.27
2833,0.62,1.5,0.99,1.36,0.54,13.37,33.88
2834,0.93,1.57,0.39,1.06,0.83,5.75,31.74
2835,1.78,2.06,2.11,1.5,0.05,0.66,27.04
2836,1.85,0.24,2.8,0.65,0.01,12.28,31.78
2837,0.82,2.88,2.73,0.36,0.75,9.24,33.57
2838,1.88,0.36,2.76,0.49,0.88,10.2,17.11
2839,1.37,3.55,2.61,0.44,0.63,1.35,11.81
2840,1.99,2.17,1.32,1.37,0.38,2.66,7.38
2841,0.53,3.77,2.81,0.81,0.44,8.22,4.01
2842,1.68,1.61,1.91,0.87,0.78,3.03,15.19
2843,0.58,3.93,2.49,0.42,0.52,12.27,26.23
2844,1.6,2.44,0.9,0.48,0.69,0.37,10.06
2845,1.92,0.49,1.5,1.24,0.95,12.27,27.92
2846,0.99,2.25,0.35,1.09,0.27,6.97,14.91
2847,1.01,0.21,0.46,0.63,0.16,8.84,4.76
2848,0.86,1.76,2.42,1.23,0.85,2.98,19.57
2849,1.15,2.69,2.83,0.27,0.7,5.83,32.36
2850,1.21,0.54,1.58,0.29,0.48,8.63,1.63
2851,1.36,0.66,1.46,0.32,0.57,2.4,15.33
2852,1.53,3.05,2.83,1.11,0.91,5.85,-2.19
2853,1.43,1.09,2.49,0.97,0.96,10.13,25.71
2854,0.65,3.42,0.55,1.32,0.01,13.55,30.05
2855,1.45,2.46,0.13,1.46,0.72,3.86,2.37
2856,0.79,2.19,2.85,0.64,0.97,11.39,0.63
2857,1.3,1.58,1.62,1.02,0.19,1.92,-3.68
2858,1.38,3.84,1.94,1.33,0.18,2.82,24.24
2859,1.15,2.5,1.59,0.5,0.13,12.16,-3.32
2860,1.13,0.31,2.22,0.32,0.42,12.93,33.85
2861,1.14,1.63,2.69,1.48,0.78,8.13,4.74
2862,0.85,0.49,2.98,1.37,0.54,2.5,18.82
2863,1.7,2.94,1.09,0.99,0.39,2.77,21.42
2864,1.23,1,1.56,0.21,0.57,14.2,1.28
2865,1.26,0.07,2.65,0.49,0.35,8.33,1.23
2866,0.78,3.98,1.31,1.1,0.51,4.68,-4.38
2867,1.21,1.89,1.08,0.67,0.47,8.83,25.09
2868,1.16,0.14,2.91,0.94,0.92,4.15,0.17
2869,1.12,1.82,2.2,0.27,0.53,11.1,7.1
2870,1.17,1.09,1.52,0.91,0.66,2.59,15.56
2871,0.87,2.9,2.39,0.39,0.3,4.08,25.52
2872,1.69,0.03,0.96,0.34,0.36,10.78,5.88
2873,0.79,0.55,1.77,0.84,0.98,0.75,25.01
2874,1.31,1.42,2.13,0.87,0.61,14.92,9.92
2875,0.98,1.59,2.15,1.37,0.3,5,21.54
2876,1.58,1.95,0.59,1.49,0.07,10.46,11.45
2877,1.54,1.41,2.98,0.34,0.61,1.24,30.36
2878,1.55,1.59,2.26,0.61,0.08,8.51,8.09
